Change Physical Footprint: Designator=* Old Footprint=IRF7470 New Footprint=IRF7470
Change Physical Footprint: Designator=C1 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C2 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C3 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C4 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C5 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C6 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C7 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C8 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C9 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C10 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C11 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C12 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C13 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C14 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C15 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C16 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C17 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C18 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C19 Old Footprint=SMD_Ceramic_CAP New Footprint=SMD_Ceramic_CAP
Change Physical Footprint: Designator=C20 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=C21 Old Footprint=Capacitor_Bipolar-SMD New Footprint=Capacitor_Bipolar-SMD
Change Physical Footprint: Designator=D1 Old Footprint=TVS_15V New Footprint=TVS_15V
Change Physical Footprint: Designator=D3 Old Footprint=TVS_15V New Footprint=TVS_15V
Change Physical Footprint: Designator=D5 Old Footprint=SS24 New Footprint=SS24
Change Physical Footprint: Designator=E1 Old Footprint=Ferrite_bead New Footprint=Ferrite_bead
Change Physical Footprint: Designator=F1 Old Footprint=Polyfuse New Footprint=Polyfuse
Change Physical Footprint: Designator=J1 Old Footprint=XT60PW-F New Footprint=XT60PW-F
Change Physical Footprint: Designator=J3 Old Footprint=2_Pin_Terminal_Block New Footprint=2_Pin_Terminal_Block
Change Physical Footprint: Designator=J4 Old Footprint=JST_XH_Balance New Footprint=JST_XH_Balance
Change Physical Footprint: Designator=J5 Old Footprint=HRO_TYPE-C-31-M-12 New Footprint=HRO_TYPE-C-31-M-12
Change Physical Footprint: Designator=J6 Old Footprint=2_Pin_Terminal_Block New Footprint=2_Pin_Terminal_Block
Change Physical Footprint: Designator=J7 Old Footprint=2_Pin_Terminal_Block New Footprint=2_Pin_Terminal_Block
Change Physical Footprint: Designator=R1 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R2 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R3 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R4 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R5 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R6 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R7 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R8 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
Change Physical Footprint: Designator=R9 Old Footprint=Resistor_SMD New Footprint=Resistor_SMD
