Change Component Footprint: Designator=J1 Old Footprint=AMASS_XT60PW-F New Footprint=XT60PW-F
Change Component Footprint: Designator=C4 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C5 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C7 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C8 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C10 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C11 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C20 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C21 Old Footprint=C0603K New Footprint=Capacitor_Bipolar-SMD
Change Component Footprint: Designator=C1 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C2 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C3 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C6 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C9 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C12 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C13 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C14 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C15 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C16 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C17 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C18 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=C19 Old Footprint=CAPC2012X94N New Footprint=SMD_Ceramic_CAP
Change Component Footprint: Designator=D1 Old Footprint=DIO_UCLAMP0571P.TNT New Footprint=TVS_15V
Change Component Footprint: Designator=D3 Old Footprint=DIO_UCLAMP0571P.TNT New Footprint=TVS_15V
Change Component Footprint: Designator=D5 Old Footprint=DIOM5336X265N New Footprint=SS24
Change Component Footprint: Designator=U3 Old Footprint=DPAK127P1490X440-8N New Footprint=BTS7960B
Change Component Footprint: Designator=U4 Old Footprint=DPAK127P1490X440-8N New Footprint=BTS7960B
Change Component Footprint: Designator=E1 Old Footprint=FB_LI0603G121R-10 New Footprint=Ferrite_bead
Change Component Footprint: Designator=R2 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R3 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R4 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R5 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R6 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R7 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R8 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R9 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R10 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R11 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R12 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R13 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R14 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R15 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=R16 Old Footprint=RESC1608X50N New Footprint=Resistor_SMD
Change Component Footprint: Designator=U5 Old Footprint=SOIC127P599X175-8N New Footprint=TC4420COA
Change Component Footprint: Designator=U2 Old Footprint=SOT229P700X180-4N New Footprint=AMS1117-5.0
Change Component Footprint: Designator=U6 Old Footprint=SOT229P700X180-4N New Footprint=AMS1117-5.0
Change Component Footprint: Designator=U7 Old Footprint=SOTFL50P160X60-8N New Footprint=TPS2116
Change Component Footprint: Designator=J4 Old Footprint=TE_640455-4 New Footprint=JST_XH_Balance
Change Component Footprint: Designator=U1 Old Footprint=XCVR_ESP32-S3-WROOM-1-N16R2 New Footprint=ESP32-S3-WROOM-1-N16R2
